variable,group,value
1968,5,-0.119
1968,6,-0.072
1968,7,-0.183
1968,8,-0.116
1968,9,-0.22
1968,10,0.085
1968,11,-0.085
1968,12,-0.055
1969,1,-0.039
1969,2,-0.115
1969,3,-0.036
1969,4,0.177
1969,5,0.233
1969,6,0.116
1969,7,-0.085
1969,8,0.002
1969,9,0.039
1969,10,0.081
1969,11,0.076
1969,12,0.287
1970,1,0.142
1970,2,0.165
1970,3,0.025
1970,4,0.072
1970,5,0.005
1970,6,-0.041
1970,7,-0.032
1970,8,-0.097
1970,9,0.09
1970,10,0.025
1970,11,-0.07
1970,12,-0.112
1971,1,-0.056
1971,2,-0.208
1971,3,-0.232
1971,4,-0.073
1971,5,-0.068
1971,6,-0.129
1971,7,-0.108
1971,8,-0.079
1971,9,-0.045
1971,10,-0.058
1971,11,-0.09
1971,12,-0.121
1972,1,-0.262
1972,2,-0.206
1972,3,-0.005
1972,4,0.017
1972,5,0.055
1972,6,0.043
1972,7,-0.032
1972,8,0.177
1972,9,0.022
1972,10,0.02
1972,11,-0.005
1972,12,0.236
1973,1,0.247
1973,2,0.263
1973,3,0.193
1973,4,0.307
1973,5,0.266
1973,6,0.177
1973,7,0.056
1973,8,0.052
1973,9,0.037
1973,10,0.084
1973,11,0.021
1973,12,0.004
1974,1,-0.155
1974,2,-0.301
1974,3,-0.122
1974,4,-0.061
1974,5,-0.024
1974,6,-0.002
1974,7,-0.046
1974,8,0.181
1974,9,-0.037
1974,10,-0.039
1974,11,-0.076
1974,12,-0.069
1975,1,0.053
1975,2,0.13
1975,3,0.147
1975,4,0.112
1975,5,0.21
1975,6,0.037
1975,7,-0.046
1975,8,-0.188
1975,9,-0.031
1975,10,-0.069
1975,11,-0.221
1975,12,-0.105
1976,1,-0.036
1976,2,-0.104
1976,3,-0.234
1976,4,-0.057
1976,5,-0.253
1976,6,-0.176
1976,7,-0.059
1976,8,-0.147
1976,9,-0.028
1976,10,-0.192
1976,11,-0.027
1976,12,0.166
1977,1,0.316
1977,2,0.239
1977,3,0.192
1977,4,0.313
1977,5,0.393
1977,6,0.356
1977,7,0.227
1977,8,0.284
1977,9,0.089
1977,10,0.116
1977,11,0.188
1977,12,0.097
1978,1,0.139
1978,2,0.196
1978,3,0.195
1978,4,0.226
1978,5,0.18
1978,6,0.03
1978,7,0.091
1978,8,-0.179
1978,9,0.119
1978,10,0.003
1978,11,0.156
1978,12,0.149
1979,1,0.18
1979,2,-0.069
1979,3,0.191
1979,4,0.243
1979,5,0.081
1979,6,0.098
1979,7,0.03
1979,8,0.169
1979,9,0.277
1979,10,0.246
1979,11,0.263
1979,12,0.501
1980,1,0.378
1980,2,0.466
1980,3,0.37
1980,4,0.426
1980,5,0.389
1980,6,0.217
1980,7,0.303
1980,8,0.267
1980,9,0.202
1980,10,0.161
1980,11,0.263
1980,12,0.232
1981,1,0.575
1981,2,0.42
1981,3,0.45
1981,4,0.329
1981,5,0.28
1981,6,0.371
1981,7,0.378
1981,8,0.424
1981,9,0.218
1981,10,0.144
1981,11,0.199
1981,12,0.489
1982,1,0.13
1982,2,0.156
1982,3,-0.012
1982,4,0.108
1982,5,0.197
1982,6,0.109
1982,7,0.133
1982,8,0.078
1982,9,0.138
1982,10,0.127
1982,11,0.093
1982,12,0.434
1983,1,0.487
1983,2,0.443
1983,3,0.367
1983,4,0.349
1983,5,0.386
1983,6,0.234
1983,7,0.167
1983,8,0.359
1983,9,0.408
1983,10,0.162
1983,11,0.26
1983,12,0.232
1984,1,0.287
1984,2,0.14
1984,3,0.288
1984,4,0.175
1984,5,0.386
1984,6,0.093
1984,7,0.045
1984,8,0.151
1984,9,0.219
1984,10,0.107
1984,11,-0.017
1984,12,-0.031
1985,1,0.286
1985,2,0.039
1985,3,0.176
1985,4,0.174
1985,5,0.212
1985,6,0.179
1985,7,-0.02
1985,8,0.198
1985,9,0.148
1985,10,0.133
1985,11,0.066
1985,12,0.213
1986,1,0.239
1986,2,0.426
1986,3,0.262
1986,4,0.328
1986,5,0.284
1986,6,0.116
1986,7,0.1
1986,8,0.182
1986,9,0.096
1986,10,0.159
1986,11,0.082
1986,12,0.186
1987,1,0.347
1987,2,0.399
1987,3,0.222
1987,4,0.299
1987,5,0.323
1987,6,0.385
1987,7,0.435
1987,8,0.322
1987,9,0.35
1987,10,0.323
1987,11,0.205
1987,12,0.517
1988,1,0.559
1988,2,0.429
1988,3,0.466
1988,4,0.506
1988,5,0.457
1988,6,0.445
1988,7,0.328
1988,8,0.418
1988,9,0.391
1988,10,0.32
1988,11,0.058
1988,12,0.297
1989,1,0.075
1989,2,0.355
1989,3,0.301
1989,4,0.343
1989,5,0.129
1989,6,0.155
1989,7,0.326
1989,8,0.335
1989,9,0.349
1989,10,0.333
1989,11,0.14
1989,12,0.454
1990,1,0.421
1990,2,0.393
1990,3,0.74
1990,4,0.652
1990,5,0.553
1990,6,0.406
1990,7,0.462
1990,8,0.345
1990,9,0.313
1990,10,0.438
1990,11,0.39
1990,12,0.43
1991,1,0.443
1991,2,0.522
1991,3,0.383
1991,4,0.604
1991,5,0.448
1991,6,0.544
1991,7,0.511
1991,8,0.445
1991,9,0.45
1991,10,0.348
1991,11,0.297
1991,12,0.394
1992,1,0.501
1992,2,0.445
1992,3,0.465
1992,4,0.342
1992,5,0.345
1992,6,0.281
1992,7,0.119
1992,8,0.11
1992,9,-0.033
1992,10,0.051
1992,11,0.004
1992,12,0.26
1993,1,0.403
1993,2,0.43
1993,3,0.382
1993,4,0.368
1993,5,0.355
1993,6,0.309
1993,7,0.275
1993,8,0.201
1993,9,0.201
1993,10,0.287
1993,11,0.115
1993,12,0.241
1994,1,0.304
1994,2,0.105
1994,3,0.37
1994,4,0.455
1994,5,0.362
1994,6,0.443
1994,7,0.284
1994,8,0.241
1994,9,0.341
1994,10,0.446
1994,11,0.421
1994,12,0.395
1995,1,0.53
1995,2,0.775
1995,3,0.477
1995,4,0.586
1995,5,0.388
1995,6,0.503
1995,7,0.534
1995,8,0.536
1995,9,0.407
1995,10,0.51
1995,11,0.461
1995,12,0.343
1996,1,0.333
1996,2,0.582
1996,3,0.446
1996,4,0.463
1996,5,0.33
1996,6,0.276
1996,7,0.361
1996,8,0.524
1996,9,0.29
1996,10,0.204
1996,11,0.42
1996,12,0.48
1997,1,0.37
1997,2,0.425
1997,3,0.554
1997,4,0.501
1997,5,0.448
1997,6,0.619
1997,7,0.398
1997,8,0.455
1997,9,0.569
1997,10,0.695
1997,11,0.7
1997,12,0.662
1998,1,0.655
1998,2,0.885
1998,3,0.681
1998,4,0.814
1998,5,0.773
1998,6,0.79
1998,7,0.72
1998,8,0.753
1998,9,0.501
1998,10,0.486
1998,11,0.48
1998,12,0.66
1999,1,0.506
1999,2,0.69
1999,3,0.386
1999,4,0.418
1999,5,0.354
1999,6,0.44
1999,7,0.391
1999,8,0.366
1999,9,0.467
1999,10,0.394
1999,11,0.388
1999,12,0.489
2000,1,0.334
2000,2,0.596
2000,3,0.568
2000,4,0.644
2000,5,0.42
2000,6,0.446
2000,7,0.385
2000,8,0.483
2000,9,0.459
2000,10,0.276
2000,11,0.335
2000,12,0.354
2001,1,0.516
2001,2,0.499
2001,3,0.608
2001,4,0.617
2001,5,0.608
2001,6,0.564
2001,7,0.572
2001,8,0.485
2001,9,0.553
2001,10,0.504
2001,11,0.708
2001,12,0.676
2002,1,0.773
2002,2,0.727
2002,3,0.939
2002,4,0.691
2002,5,0.697
2002,6,0.57
2002,7,0.599
2002,8,0.569
2002,9,0.687
2002,10,0.612
2002,11,0.581
2002,12,0.576
2003,1,0.805
2003,2,0.612
2003,3,0.593
2003,4,0.64
2003,5,0.669
2003,6,0.496
2003,7,0.559
2003,8,0.662
2003,9,0.69
2003,10,0.744
2003,11,0.535
2003,12,0.794
2004,1,0.65
2004,2,0.733
2004,3,0.638
2004,4,0.705
2004,5,0.433
2004,6,0.44
2004,7,0.25
2004,8,0.472
2004,9,0.551
2004,10,0.631
2004,11,0.699
2004,12,0.554
2005,1,0.792
2005,2,0.683
2005,3,0.784
2005,4,0.768
2005,5,0.706
2005,6,0.698
2005,7,0.607
2005,8,0.642
2005,9,0.748
2005,10,0.821
2005,11,0.724
2005,12,0.772
2006,1,0.644
2006,2,0.828
2006,3,0.699
2006,4,0.618
2006,5,0.563
2006,6,0.677
2006,7,0.47
2006,8,0.742
2006,9,0.646
2006,10,0.705
2006,11,0.704
2006,12,0.843
2007,1,0.991
2007,2,0.768
2007,3,0.697
2007,4,0.878
2007,5,0.719
2007,6,0.617
2007,7,0.641
2007,8,0.638
2007,9,0.61
2007,10,0.637
2007,11,0.593
2007,12,0.518
2008,1,0.31
2008,2,0.367
2008,3,0.687
2008,4,0.605
2008,5,0.573
2008,6,0.515
2008,7,0.576
2008,8,0.488
2008,9,0.684
2008,10,0.713
2008,11,0.67
2008,12,0.598
2009,1,0.713
2009,2,0.592
2009,3,0.523
2009,4,0.659
2009,5,0.672
2009,6,0.698
2009,7,0.783
2009,8,0.744
2009,9,0.745
2009,10,0.721
2009,11,0.784
2009,12,0.784
2010,1,0.829
2010,2,0.911
2010,3,0.932
2010,4,0.987
2010,5,0.817
2010,6,0.694
2010,7,0.606
2010,8,0.695
2010,9,0.682
2010,10,0.745
2010,11,0.776
2010,12,0.571
2011,1,0.61
2011,2,0.573
2011,3,0.7
2011,4,0.722
2011,5,0.589
2011,6,0.678
2011,7,0.779
2011,8,0.811
2011,9,0.597
2011,10,0.668
2011,11,0.562
2011,12,0.641
2012,1,0.478
2012,2,0.527
2012,3,0.521
2012,4,0.777
2012,5,0.822
2012,6,0.696
2012,7,0.563
2012,8,0.743
2012,9,0.778
2012,10,0.848
2012,11,0.806
2012,12,0.61
2013,1,0.738
2013,2,0.608
2013,3,0.681
2013,4,0.641
2013,5,0.677
2013,6,0.678
2013,7,0.581
2013,8,0.723
2013,9,0.792
2013,10,0.699
2013,11,0.836
2013,12,0.738
2014,1,0.787
2014,2,0.58
2014,3,0.782
2014,4,0.86
2014,5,0.899
2014,6,0.679
2014,7,0.577
2014,8,0.885
2014,9,0.907
2014,10,0.85
2014,11,0.629
2014,12,0.814
2015,1,0.859
2015,2,0.89
2015,3,0.907
2015,4,0.86
2015,5,0.863
2015,6,0.823
2015,7,0.73
2015,8,0.863
2015,9,0.886
2015,10,1.087
2015,11,1.02
2015,12,1.186
2016,1,1.247
2016,2,1.326
2016,3,1.32
2016,4,1.178
2016,5,1.047
2016,6,0.831
2016,7,0.833
2016,8,1.032
2016,9,0.917
2016,10,0.955
2016,11,0.957
2016,12,0.972
2017,1,1.087
2017,2,1.172
2017,3,1.214
2017,4,1.044
2017,5,0.982
2017,6,0.724
2017,7,0.808
2017,8,0.893
2017,9,0.777
2017,10,0.917
2017,11,0.852
2017,12,0.994
2018,1,0.873
2018,2,0.916
2018,3,0.921
2018,4,0.987
2018,5,0.845
2018,6,0.798
2018,7,0.804
2018,8,0.821
2018,9,0.8
2018,10,1.002
2018,11,0.815
2018,12,0.974
2019,1,0.946
2019,2,0.98
2019,3,1.211
2019,4,1.111
2019,5,0.924
2019,6,0.877
2019,7,0.943
2019,8,0.991
2019,9,0.937
2019,10,1.103
2019,11,1.001
2019,12,1.153
2020,1,1.192
2020,2,1.216
2020,3,1.169
2020,4,1.226
2020,5,1.038
2020,6,0.912
2020,7,0.923
2020,8,0.946
2020,9,0.999
2020,10,0.92
2020,11,1.081
2020,12,0.859
2021,1,0.886
2021,2,0.691
2021,3,0.862
2021,4,0.88
2021,5,0.863
2021,6,0.836
2021,7,0.902
2021,8,0.896
2021,9,0.981
2021,10,1.05
2021,11,0.925
2021,12,0.885
2022,1,0.937
2022,2,0.877
2022,3,1.071
2022,4,0.932
2022,5,0.888
2022,6,0.961
2022,7,0.921
2022,8,0.971
2022,9,0.9
2022,10,1.058
