variable,group,value
1873,5,-0.276
1873,6,-0.209
1873,7,-0.168
1873,8,-0.141
1873,9,-0.37
1873,10,-0.24
1873,11,-0.339
1873,12,-0.228
1874,1,-0.215
1874,2,-0.269
1874,3,-0.635
1874,4,-0.361
1874,5,-0.218
1874,6,-0.317
1874,7,-0.256
1874,8,-0.169
1874,9,-0.165
1874,10,-0.313
1874,11,-0.419
1874,12,-0.304
1875,1,-0.462
1875,2,-0.364
1875,3,-0.452
1875,4,-0.38
1875,5,-0.28
1875,6,-0.278
1875,7,-0.216
1875,8,-0.248
1875,9,-0.276
1875,10,-0.186
1875,11,-0.567
1875,12,-0.456
1876,1,-0.378
1876,2,-0.272
1876,3,-0.291
1876,4,-0.274
1876,5,-0.526
1876,6,-0.328
1876,7,-0.155
1876,8,-0.294
1876,9,-0.368
1876,10,-0.267
1876,11,-0.481
1876,12,-0.566
1877,1,-0.185
1877,2,-0.087
1877,3,0.058
1877,4,-0.121
1877,5,-0.052
1877,6,-0.056
1877,7,0.143
1877,8,0.235
1877,9,0.156
1877,10,0.18
1877,11,0.21
1877,12,-0.078
1878,1,-0.005
1878,2,0.412
1878,3,0.572
1878,4,0.302
1878,5,-0.056
1878,6,0.111
1878,7,0.119
1878,8,0.085
1878,9,-0.038
1878,10,-0.079
1878,11,0.037
1878,12,-0.117
1879,1,-0.136
1879,2,-0.242
1879,3,-0.061
1879,4,-0.291
1879,5,-0.242
1879,6,-0.196
1879,7,-0.217
1879,8,-0.237
1879,9,-0.3
1879,10,-0.087
1879,11,-0.299
1879,12,-0.511
1880,1,-0.377
1880,2,-0.532
1880,3,-0.308
1880,4,-0.351
1880,5,-0.241
1880,6,-0.308
1880,7,-0.257
1880,8,-0.219
1880,9,-0.381
1880,10,-0.331
1880,11,-0.196
1880,12,-0.215
1881,1,-0.116
1881,2,-0.211
1881,3,-0.077
1881,4,-0.022
1881,5,-0.101
1881,6,-0.352
1881,7,-0.144
1881,8,-0.143
1881,9,-0.296
1881,10,-0.262
1881,11,-0.4
1881,12,-0.213
1882,1,0.096
1882,2,0.008
1882,3,-0.125
1882,4,-0.291
1882,5,-0.249
1882,6,-0.323
1882,7,-0.341
1882,8,-0.21
1882,9,-0.198
1882,10,-0.35
1882,11,-0.442
1882,12,-0.556
1883,1,-0.409
1883,2,-0.438
1883,3,-0.087
1883,4,-0.31
1883,5,-0.23
1883,6,-0.136
1883,7,-0.263
1883,8,-0.352
1883,9,-0.359
1883,10,-0.283
1883,11,-0.489
1883,12,-0.269
1884,1,-0.242
1884,2,-0.199
1884,3,-0.496
1884,4,-0.554
1884,5,-0.579
1884,6,-0.521
1884,7,-0.545
1884,8,-0.479
1884,9,-0.543
1884,10,-0.463
1884,11,-0.605
1884,12,-0.444
1885,1,-0.681
1885,2,-0.474
1885,3,-0.352
1885,4,-0.507
1885,5,-0.557
1885,6,-0.564
1885,7,-0.337
1885,8,-0.434
1885,9,-0.445
1885,10,-0.33
1885,11,-0.396
1885,12,-0.161
1886,1,-0.637
1886,2,-0.648
1886,3,-0.535
1886,4,-0.384
1886,5,-0.324
1886,6,-0.455
1886,7,-0.278
1886,8,-0.443
1886,9,-0.506
1886,10,-0.467
1886,11,-0.558
1886,12,-0.344
1887,1,-0.953
1887,2,-0.713
1887,3,-0.482
1887,4,-0.382
1887,5,-0.466
1887,6,-0.488
1887,7,-0.341
1887,8,-0.539
1887,9,-0.4
1887,10,-0.417
1887,11,-0.406
1887,12,-0.409
1888,1,-0.358
1888,2,-0.523
1888,3,-0.445
1888,4,-0.376
1888,5,-0.345
1888,6,-0.314
1888,7,-0.236
1888,8,-0.271
1888,9,-0.295
1888,10,-0.084
1888,11,-0.158
1888,12,-0.115
1889,1,-0.12
1889,2,0.23
1889,3,0.047
1889,4,0.072
1889,5,-0.148
1889,6,-0.193
1889,7,-0.148
1889,8,-0.28
1889,9,-0.365
1889,10,-0.302
1889,11,-0.494
1889,12,-0.332
1890,1,-0.455
1890,2,-0.437
1890,3,-0.562
1890,4,-0.407
1890,5,-0.493
1890,6,-0.471
1890,7,-0.431
1890,8,-0.466
1890,9,-0.467
1890,10,-0.3
1890,11,-0.678
1890,12,-0.379
1891,1,-0.49
1891,2,-0.6
1891,3,-0.228
1891,4,-0.356
1891,5,-0.262
1891,6,-0.36
1891,7,-0.323
1891,8,-0.28
1891,9,-0.264
1891,10,-0.34
1891,11,-0.5
1891,12,-0.11
1892,1,-0.28
1892,2,-0.179
1892,3,-0.433
1892,4,-0.475
1892,5,-0.392
1892,6,-0.279
1892,7,-0.453
1892,8,-0.438
1892,9,-0.4
1892,10,-0.268
1892,11,-0.757
1892,12,-0.501
1893,1,-0.902
1893,2,-0.622
1893,3,-0.288
1893,4,-0.358
1893,5,-0.387
1893,6,-0.3
1893,7,-0.167
1893,8,-0.267
1893,9,-0.352
1893,10,-0.227
1893,11,-0.335
1893,12,-0.404
1894,1,-0.542
1894,2,-0.427
1894,3,-0.329
1894,4,-0.515
1894,5,-0.391
1894,6,-0.456
1894,7,-0.268
1894,8,-0.268
1894,9,-0.34
1894,10,-0.223
1894,11,-0.411
1894,12,-0.313
