0,1,id
-6.06107133251694E+02,-2.0797473866327E+01,1
-2.40612425407714E+03,-3.87093924284824E+01,2
-9.06091975714724E+02,-3.42841098027241E+00,3
-1.70609129035454E+03,1.32273440819538E+00,4
-1.1061143308293E+03,-3.01891973542288E+01,5
-6.06113677719025E+02,-3.1368663672243E+01,6
-9.47347173420498E-02,-3.40496520665829E-01,7
-1.50611056843407E+03,-2.51464816445743E+01,8
1.19391547418074E+03,2.87574294855831E+00,9
3.69395091284653E+03,4.87778809955934E+01,10
-9.33621764589668E-02,-3.10126856150243E+00,11
-3.90608693448376E+03,5.86078068914633E+00,12
3.79392028978007E+03,1.11041406946421E+01,13
-6.72118745785091E-02,2.83805429115823E+01,14
2.59393724934568E+03,3.12671180473743E+01,15
-4.60600184725642E+03,1.08314593257364E+02,16
-1.0001823688984E-01,-1.17730367985141E+01,17
-6.53340153036996E-02,2.96529796519119E+01,18
2.99388757500097E+03,-3.13653489076187E+01,19
-3.10611213440824E+03,-2.46144340170861E+01,20
7.93984583036223E+02,8.99581073769909E+01,21
-2.20599144963909E+03,1.37281084019919E+02,22
-1.50600246508466E+03,1.068666992174E+02,23
-9.13475643667991E-02,-7.6351319745593E-01,24
-1.06092282725109E+02,-5.53835975511751E+00,25
-6.07756792983829E+00,1.64031168210356E+01,26
1.89389998833462E+03,-1.38751397249565E+01,27
1.19393306875715E+03,2.85377888579232E+01,28
-1.12128955267425E-01,-2.66950827560781E+01,29
-1.14821126781141E-01,-2.96934642051255E+01,30
-1.1895399966201E-02,9.72580089980574E+01,31
-6.06106985148508E+02,-2.32433211968351E+01,32
1.19389670380225E+03,-1.83164385604957E+01,33
-8.81744551232131E-02,-1.07090425818239E+00,34
-1.33667520330981E-02,9.47895043426666E+01,35
1.39389669170899E+03,-1.87385668446479E+01,36
-1.13604749180756E-01,-2.83365502361787E+01,37
-1.50608214226208E+03,8.88807135780971E+00,38
-5.25438073151539E-02,4.59507248008475E+01,39
1.39392038013608E+03,1.16816257799977E+01,40
